dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,weekday
2022-08-09 05:00:00,1,0.016610891524906385,0.0,0.07481794691097017,0.13203042311763113,0.07656171914042978,0.016411312299400474,0.017180639232104562,0.01807137433561124,2022,8,9,5,Tuesday
2022-08-09 06:00:00,1,0.01513338479539407,0.0,0.06675279931093883,0.12851059640140794,0.07186406796601699,0.016259916429479805,0.017001940161339733,0.01791951404707669,2022,8,9,6,Tuesday
2022-08-09 07:00:00,1,0.013658089902303189,0.0,0.058726802912849416,0.12851059640140794,0.06466766616691653,0.01622963725549567,0.01679771265189421,0.01457858769931663,2022,8,9,7,Tuesday
2022-08-09 08:00:00,1,0.013658089902303189,0.0,0.05535979954584605,0.1267629901297167,0.06466766616691653,0.017319687518924484,0.017742264883079752,0.010933940774487472,2022,8,9,8,Tuesday
2022-08-09 09:00:00,1,0.013658089902303189,0.0,0.05669094041187063,0.11795111625273834,0.06946526736631685,0.019499788045782115,0.019759011538854284,0.008656036446469248,2022,8,9,9,Tuesday
2022-08-09 10:00:00,1,0.01513338479539407,0.0,0.06342494714587738,0.10123809289388831,0.07416291854072965,0.02116514261490947,0.021443888491779844,0.008807896735003796,2022,8,9,10,Tuesday
2022-08-09 11:00:00,1,0.019563693147509574,0.00046073431517404634,0.08354866494401376,0.07219336894183671,0.07536231884057971,0.021528492702719074,0.022337383845604002,0.01275626423690205,2022,8,9,11,Tuesday
2022-08-09 12:00:00,1,0.026946803122228302,0.005020415296379264,0.0915746613421032,0.07657469170748518,0.07776111944027986,0.022043238660449348,0.023537220463596447,0.017615793470007596,2022,8,9,12,Tuesday
2022-08-09 13:00:00,1,0.03137489963792238,0.006577379533863972,0.09294495341006968,0.1443621237108327,0.0861569215392304,0.025071156058862714,0.026728275298682734,0.020804859529233107,2022,8,9,13,Tuesday
2022-08-09 14:00:00,2,0.032852406367434694,0.004655005322275711,0.08084723201002271,0.26408546040810305,0.0908545727136432,0.03146006176951493,0.03244664556315736,0.020349278663629466,2022,8,9,14,Tuesday
2022-08-09 15:00:00,3,0.03211365300267853,0.0027802932812226937,0.05939237334586171,0.3908484505378197,0.08735632183908046,0.04002906800702477,0.039696722148473404,0.017463933181473046,2022,8,9,15,Tuesday
2022-08-09 16:00:00,3,0.023994001499625092,0.00162051379819837,0.03390494088168507,0.39788810397026614,0.06226886556721639,0.03345848725246776,0.032165832737669764,0.008959757023538345,2022,8,9,16,Tuesday
2022-08-09 17:00:00,3,0.018086186417997273,0.0013027659946300621,0.029206796648657107,0.3521057424865238,0.047976011994003,0.022679101314116153,0.021699172878586744,0.006378132118451026,2022,8,9,17,Tuesday
2022-08-09 18:00:00,3,0.016610891524906385,0.0010326803615970006,0.0301855766972046,0.3239471287567382,0.043778110944527736,0.018228062738448497,0.01748698049627285,0.006529992406985574,2022,8,9,18,Tuesday
2022-08-09 19:00:00,3,0.017349644889662535,0.0009691308008833389,0.03323937044867278,0.31690747532429175,0.044377811094452775,0.017713316780718222,0.01664454201981007,0.007289293849658316,2022,8,9,19,Tuesday
2022-08-09 20:00:00,3,0.019563693147509574,0.001175666873202739,0.03860308511471302,0.320427302040515,0.05037481259370315,0.01816750439048023,0.016772184213213522,0.008959757023538345,2022,8,9,20,Tuesday
2022-08-09 21:00:00,3,0.02103898804060047,0.0013822029455221392,0.04596351107979015,0.31338764860806856,0.05747126436781609,0.015836007993701936,0.014653323802716226,0.010326499620349278,2022,8,9,21,Tuesday
2022-08-09 22:00:00,2,0.029160851380075334,0.00224012201515657,0.09294495341006968,0.27464494055677263,0.0896551724137931,0.015351541209955796,0.015214949453691413,0.01883067577828398,2022,8,9,22,Tuesday
2022-08-09 23:00:00,2,0.04097426970690955,0.001954148991945093,0.16001096233654372,0.21655549265266943,0.12423788105947028,0.017955550172591293,0.019018686817114265,0.029460895975702357,2022,8,9,23,Tuesday
2022-08-10 00:00:00,2,0.052046722832566186,0.00034952258392513866,0.22175240779891942,0.15492160385950232,0.14922538730634685,0.02249742627021135,0.024277545185336466,0.03644646924829158,2022,8,10,0,Wednesday
2022-08-10 01:00:00,2,0.06681294278200361,1.5887390178415394e-05,0.29422128259337554,0.0871587860289955,0.1635182408795602,0.029885544722339976,0.03288062902072909,0.04024297646165528,2022,8,10,1,Wednesday
2022-08-10 02:00:00,2,0.07714885437932552,0.0006354956071366157,0.3264035705896171,0.03345066089054078,0.1326336831584208,0.03403379155816629,0.03898192586541407,0.032498101746393324,2022,8,10,2,Wednesday
2022-08-10 03:00:00,2,0.07419605275672232,0.001906486821409847,0.2834547020593532,0.016073054864991266,0.0861569215392304,0.03276206625083268,0.038216072704993366,0.020045558086560368,2022,8,10,3,Wednesday
2022-08-10 04:00:00,2,0.062382634429888104,0.0013822029455221392,0.21638869313287915,0.014522361976025798,0.056371814092953526,0.028220190153212626,0.03231900336975391,0.011693242217160213,2022,8,10,4,Wednesday
2022-08-10 05:00:00,2,0.046879872952115945,0.0009214686303480927,0.1492835330044632,0.016073054864991266,0.04557721139430285,0.02325440561981469,0.025656080874093743,0.008959757023538345,2022,8,10,5,Wednesday
2022-08-10 06:00:00,1,0.032852406367434694,0.0003812973642819694,0.09294495341006968,0.0250818421246954,0.044977511244377814,0.019166717131956643,0.020320637189829467,0.008200455580865604,2022,8,10,6,Wednesday
2022-08-10 07:00:00,1,0.021777741405356627,0.00011121173124890776,0.062054655077910886,0.0396042041007212,0.04677661169415292,0.014412886816447649,0.01516389257633003,0.00941533788914199,2022,8,10,7,Wednesday
2022-08-10 08:00:00,1,0.01513338479539407,0.00011121173124890776,0.05602536997885835,0.04489625126147636,0.048575712143928036,0.009719614848906922,0.010875114877974063,0.010478359908883827,2022,8,10,8,Wednesday
2022-08-10 09:00:00,1,0.013658089902303189,0.00015887390178415394,0.060057943778873996,0.04489625126147636,0.05457271364317841,0.006540301580572882,0.008194628816501582,0.011693242217160213,2022,8,10,9,Wednesday
2022-08-10 10:00:00,1,0.014394631430637912,0.00028597302321147703,0.06745752094589302,0.04093336943412017,0.05987006496751625,0.005480530491128202,0.007403247217400184,0.012908124525436599,2022,8,10,10,Wednesday
2022-08-10 11:00:00,1,0.019563693147509574,0.00224012201515657,0.08758123874402943,0.025967952346961386,0.06826586706646677,0.006691697450493551,0.009190237925048503,0.018375094912680336,2022,8,10,11,Wednesday
2022-08-10 12:00:00,1,0.025469296392715987,0.01189965524363313,0.08891237961005402,0.03433677111280676,0.08015992003998001,0.008659843759462243,0.011640968038394772,0.023842065299924074,2022,8,10,12,Wednesday
2022-08-10 13:00:00,1,0.026946803122228302,0.013488394261474669,0.0902435204760786,0.0686489280527728,0.08255872063968017,0.00987101071882759,0.012559991830899621,0.02490508731966591,2022,8,10,13,Wednesday
2022-08-10 14:00:00,1,0.026208049757472138,0.011184722685604437,0.09294495341006968,0.1056440298323775,0.0849575212393803,0.010870223460304002,0.01332584499132033,0.02490508731966591,2022,8,10,14,Wednesday
2022-08-10 15:00:00,1,0.025469296392715987,0.008706289817771636,0.0915746613421032,0.15492160385950232,0.0908545727136432,0.012777811421304425,0.01493413662820382,0.024601366742596813,2022,8,10,15,Wednesday
2022-08-10 16:00:00,2,0.02325524813486894,0.00527461353923391,0.07818495027797354,0.21830309892436067,0.0861569215392304,0.014564282686368318,0.015751046665985906,0.0214123006833713,2022,8,10,16,Wednesday
2022-08-10 17:00:00,2,0.021777741405356627,0.0035111132294298017,0.06675279931093883,0.27112511384054944,0.08135932033983008,0.016926058257130748,0.017257224548146634,0.020349278663629466,2022,8,10,17,Wednesday
2022-08-10 18:00:00,3,0.02030244651226574,0.0023989959169407244,0.05535979954584605,0.31690747532429175,0.07186406796601699,0.019681463089686917,0.01942714183600531,0.01883067577828398,2022,8,10,18,Wednesday
2022-08-10 19:00:00,3,0.023994001499625092,0.002176572454442909,0.07481794691097017,0.320427302040515,0.08735632183908046,0.022315751226306548,0.02218421321351986,0.022930903568716784,2022,8,10,19,Wednesday
2022-08-10 20:00:00,3,0.0417108112352443,0.0027802932812226937,0.15061467387048783,0.3626652226351934,0.17791104447776113,0.04408647732089869,0.043449402634534874,0.040698557327258925,2022,8,10,20,Wednesday
2022-08-10 21:00:00,4,0.05942983280728491,0.0019700363821235087,0.20295983086680758,0.44012602456494454,0.2207896051974013,0.08620480833282868,0.08401409169815174,0.04738041002277905,2022,8,10,21,Wednesday
2022-08-10 22:00:00,4,0.057954537914194026,0.001779387699982524,0.17614125753660634,0.3661850493514166,0.15402298850574714,0.0792103191424938,0.07855100582048402,0.03690205011389522,2022,8,10,22,Wednesday
2022-08-10 23:00:00,3,0.057954537914194026,0.0011597794830243236,0.15464724767050347,0.2852044207054422,0.11944027986006997,0.06513050323987163,0.06739507811702236,0.03204252088078968,2022,8,10,23,Wednesday
2022-08-11 00:00:00,3,0.055001736291590816,0.00012709912142732315,0.13722496280635815,0.26408546040810305,0.10994502748625687,0.06622055350330043,0.06923312570203206,0.027182991647684136,2022,8,11,0,Thursday
2022-08-11 01:00:00,3,0.052046722832566186,0.0,0.11976352674027091,0.2605656336918798,0.10634682658670665,0.0685217707260946,0.0725518227305218,0.022930903568716784,2022,8,11,1,Thursday
2022-08-11 02:00:00,3,0.05278547619732235,0.0,0.12512724140631118,0.246486326826987,0.11234382808595701,0.07124689638466664,0.07658531604207086,0.022627182991647687,2022,8,11,2,Thursday
2022-08-11 03:00:00,4,0.055001736291590816,0.0,0.1412575366063738,0.22359514608511585,0.12903548225887057,0.07494095561073094,0.0812570203206372,0.023842065299924074,2022,8,11,3,Thursday
2022-08-11 04:00:00,4,0.05647703118468171,0.0,0.15061467387048783,0.2024515716149359,0.1469265367316342,0.07805971053109671,0.08426937608495864,0.02338648443432043,2022,8,11,4,Thursday
2022-08-11 05:00:00,4,0.05942983280728491,0.0,0.16271239527053477,0.17958500504590544,0.17071464267866068,0.08166293223520862,0.08763912999080976,0.024145785876993172,2022,8,11,5,Thursday
2022-08-11 06:00:00,4,0.062382634429888104,0.0,0.1841672539346958,0.15140177714327913,0.19930034982508746,0.0882032338157815,0.09468497906668029,0.02505694760820046,2022,8,11,6,Thursday
2022-08-11 07:00:00,4,0.06976574440460681,0.0,0.2110249784668389,0.1162035099810471,0.2254872563718141,0.10016350753951432,0.10739814152966404,0.024145785876993172,2022,8,11,7,Thursday
2022-08-11 08:00:00,4,0.07124325113411913,0.0,0.22711612246495966,0.08186673886824034,0.215992003998001,0.10712771755586509,0.1137802511998366,0.01974183750949127,2022,8,11,8,Thursday
2022-08-11 09:00:00,4,0.062382634429888104,4.7662170535246174e-05,0.20029754913475842,0.05808944790410319,0.17071464267866068,0.09477381457033852,0.09943326866128868,0.015489749430523921,2022,8,11,9,Thursday
2022-08-11 10:00:00,3,0.046879872952115945,0.00015887390178415394,0.15198496593845431,0.046225416594875335,0.12183908045977013,0.06861260824804699,0.07145409986725211,0.013667425968109341,2022,8,11,10,Thursday
2022-08-11 11:00:00,2,0.04097426970690955,0.0009691308008833389,0.13855610367238275,0.030373889285450567,0.09805097451274362,0.050899291467328765,0.05330337996528132,0.01791951404707669,2022,8,11,11,Thursday
2022-08-11 12:00:00,2,0.04540236622260364,0.006037208267797849,0.15331610680447888,0.020035936692347458,0.09325337331334332,0.04360201053715255,0.04612988869600736,0.02505694760820046,2022,8,11,12,Thursday
2022-08-11 13:00:00,2,0.05057142793947532,0.012074416535595697,0.15601753973846993,0.04974524331109854,0.10274862568715643,0.043662568885120816,0.04625753088941081,0.031131359149582392,2022,8,11,13,Thursday
2022-08-11 14:00:00,2,0.052046722832566186,0.011534245269529574,0.15198496593845431,0.13380264356216312,0.1278360819590205,0.04823472415672501,0.05057183702644746,0.03538344722854974,2022,8,11,14,Thursday
2022-08-11 15:00:00,2,0.05278547619732235,0.008610965476701142,0.143919818338423,0.2781647672729958,0.1612193903048476,0.058257130745473264,0.05960890431941183,0.039787395596051635,2022,8,11,15,Thursday
2022-08-11 16:00:00,3,0.03063835810958765,0.0041307214463880025,0.07078537311095451,0.3802889703891501,0.10634682658670665,0.045963786107914975,0.044291841110997654,0.024145785876993172,2022,8,11,16,Thursday
2022-08-11 17:00:00,3,0.019563693147509574,0.0024148833071191396,0.04259650771278678,0.41548723755138217,0.07416291854072965,0.03836371343789741,0.03545900132747881,0.01883067577828398,2022,8,11,17,Thursday
2022-08-11 18:00:00,3,0.01513338479539407,0.0018905994312314316,0.03390494088168507,0.42956654441627495,0.05867066466766617,0.03463937503784897,0.031527621770652506,0.017160212604403948,2022,8,11,18,Thursday
2022-08-11 19:00:00,3,0.012919336537547031,0.0013822029455221392,0.03253464881371858,0.39436827725404294,0.047376311844077965,0.02731181493368861,0.02494128459103441,0.01564160971905847,2022,8,11,19,Thursday
2022-08-11 20:00:00,3,0.013658089902303189,0.0012709912142732315,0.04193093727977448,0.35914539591897016,0.05397301349325338,0.02337552231575123,0.021699172878586744,0.016856492027334857,2022,8,11,20,Thursday
2022-08-11 21:00:00,3,0.018086186417997273,0.0010803425321322469,0.05535979954584605,0.3661850493514166,0.06826586706646677,0.02976442802640344,0.027774941284591032,0.01791951404707669,2022,8,11,21,Thursday
2022-08-11 22:00:00,4,0.046879872952115945,0.0015251894571278776,0.15198496593845431,0.4084475841189357,0.12903548225887057,0.07660631017985829,0.07107117328704177,0.03204252088078968,2022,8,11,22,Thursday
2022-08-11 23:00:00,4,0.08010165600192873,0.0010167929714185852,0.2512724140631117,0.42956654441627495,0.1612193903048476,0.14173681341972993,0.12999080976207497,0.045102505694760826,2022,8,11,23,Thursday
2022-08-12 00:00:00,5,0.08896227270615975,9.532434107049235e-05,0.2512724140631117,0.3802889703891501,0.1373313343328336,0.1652637316054018,0.15026039007454306,0.04555808656036447,2022,8,12,0,Friday
2022-08-12 01:00:00,4,0.08157916273144103,0.0,0.22175240779891942,0.29928372757033506,0.11474262868565718,0.14191848846363472,0.12958235474318391,0.04449506454062263,2022,8,12,1,Friday
2022-08-12 02:00:00,4,0.08748476597664745,0.0,0.2834547020593532,0.1954119181824895,0.12183908045977013,0.12260037546175742,0.1146226896762994,0.05132877752467731,2022,8,12,2,Friday
2022-08-12 03:00:00,3,0.06681294278200361,0.0,0.2512724140631117,0.10209958894331356,0.08255872063968017,0.06661418276509418,0.06535280302256714,0.040698557327258925,2022,8,12,3,Friday
2022-08-12 04:00:00,1,0.01513338479539407,0.0,0.07078537311095451,0.13203042311763113,0.03668165917041479,0.01335311572700297,0.013836413764934136,0.01791951404707669,2022,8,12,4,Friday
2022-08-12 05:00:00,1,0.00848902818543152,0.0,0.03723279304674653,0.1478819504270559,0.03608195902048976,0.009901289892811724,0.009726335137342999,0.013819286256643889,2022,8,12,5,Friday
